Datetime,PJME_MW,delay
2002-12-31 01:00:00,26498.0,0
Datetime,PJME_MW,delay
2002-12-27 05:00:00,27166.0,24
Datetime,PJME_MW,delay
2013-08-04 20:00:00,33461.0,18299
Datetime,PJME_MW,delay
2013-08-03 01:00:00,29409.0,18300
Datetime,PJME_MW,delay
2013-08-03 07:00:00,25963.0,18301
Datetime,PJME_MW,delay
2013-08-03 12:00:00,32894.0,18302
Datetime,PJME_MW,delay
2013-08-03 16:00:00,33291.0,18303
Datetime,PJME_MW,delay
2013-08-02 03:00:00,25771.0,18304
Datetime,PJME_MW,delay
2013-08-02 08:00:00,31011.0,18305
Datetime,PJME_MW,delay
2013-08-02 14:00:00,41895.0,18306
Datetime,PJME_MW,delay
2013-08-03,32081.0,18307
Datetime,PJME_MW,delay
2013-08-01 04:00:00,26260.0,18308
Datetime,PJME_MW,delay
2013-08-01 11:00:00,36520.0,18309
Datetime,PJME_MW,delay
2013-08-01 15:00:00,37677.0,18310
Datetime,PJME_MW,delay
2013-08-01 20:00:00,36676.0,18311
Datetime,PJME_MW,delay
2013-08-01 22:00:00,36063.0,18312
Datetime,PJME_MW,delay
2013-08-02,30804.0,18313
Datetime,PJME_MW,delay
2013-07-31 06:00:00,26123.0,18314
Datetime,PJME_MW,delay
2013-07-31 07:00:00,28094.0,18315
Datetime,PJME_MW,delay
2013-07-31 09:00:00,32719.0,18316
Datetime,PJME_MW,delay
2013-07-31 14:00:00,40434.0,18317
Datetime,PJME_MW,delay
2002-11-20 18:00:00,34914.0,187
Datetime,PJME_MW,delay
2013-07-30 01:00:00,27943.0,18318
Datetime,PJME_MW,delay
2013-07-30 02:00:00,26152.0,18319
Datetime,PJME_MW,delay
2013-07-30 03:00:00,25081.0,18320
Datetime,PJME_MW,delay
2013-07-30 05:00:00,24682.0,18321
Datetime,PJME_MW,delay
2013-07-30 10:00:00,34164.0,18322
Datetime,PJME_MW,delay
2013-07-30 11:00:00,35910.0,18323
Datetime,PJME_MW,delay
2013-07-30 13:00:00,38449.0,18324
Datetime,PJME_MW,delay
2013-07-30 18:00:00,41603.0,18325
Datetime,PJME_MW,delay
2013-07-30 21:00:00,38135.0,18326
Datetime,PJME_MW,delay
2013-07-29 04:00:00,25661.0,18327
Datetime,PJME_MW,delay
2013-07-29 07:00:00,28958.0,18328
Datetime,PJME_MW,delay
2013-07-29 12:00:00,39292.0,18329
