Datetime,PJME_MW,delay
2002-12-31 01:00:00,26498.0,0
Datetime,PJME_MW,delay
2013-08-04 21:00:00,33241.0,28370
Datetime,PJME_MW,delay
2013-08-04 22:00:00,32511.0,28371
Datetime,PJME_MW,delay
2013-08-03 01:00:00,29409.0,28372
Datetime,PJME_MW,delay
2013-08-03 05:00:00,25153.0,28373
Datetime,PJME_MW,delay
2013-08-03 07:00:00,25963.0,28374
Datetime,PJME_MW,delay
2013-08-03 09:00:00,29139.0,28375
Datetime,PJME_MW,delay
2013-08-03 10:00:00,30966.0,28376
Datetime,PJME_MW,delay
2013-08-03 11:00:00,32181.0,28377
Datetime,PJME_MW,delay
2013-08-03 12:00:00,32894.0,28378
Datetime,PJME_MW,delay
2013-08-02 05:00:00,25447.0,28379
Datetime,PJME_MW,delay
2013-08-02 06:00:00,26747.0,28380
Datetime,PJME_MW,delay
2013-08-02 07:00:00,28462.0,28381
Datetime,PJME_MW,delay
2013-08-02 09:00:00,33576.0,28382
Datetime,PJME_MW,delay
2013-08-02 10:00:00,35861.0,28383
Datetime,PJME_MW,delay
2013-08-02 15:00:00,42690.0,28384
Datetime,PJME_MW,delay
2013-08-02 19:00:00,41470.0,28385
Datetime,PJME_MW,delay
2013-08-02 20:00:00,39814.0,28386
Datetime,PJME_MW,delay
2013-08-02 21:00:00,39078.0,28387
Datetime,PJME_MW,delay
2013-08-01 01:00:00,29509.0,28388
Datetime,PJME_MW,delay
2013-08-01 08:00:00,32713.0,28389
Datetime,PJME_MW,delay
2013-08-01 14:00:00,37669.0,28390
Datetime,PJME_MW,delay
2003-11-09 02:00:00,24767.0,2834
Datetime,PJME_MW,delay
2013-08-01 15:00:00,37677.0,28391
Datetime,PJME_MW,delay
2013-08-01 16:00:00,37698.0,28392
Datetime,PJME_MW,delay
2013-08-01 18:00:00,37991.0,28393
Datetime,PJME_MW,delay
2013-08-01 21:00:00,36875.0,28394
Datetime,PJME_MW,delay
2013-07-31 02:00:00,26226.0,28395
Datetime,PJME_MW,delay
2013-07-31 03:00:00,25146.0,28396
Datetime,PJME_MW,delay
2013-07-31 05:00:00,24845.0,28397
Datetime,PJME_MW,delay
2013-07-31 06:00:00,26123.0,28398
Datetime,PJME_MW,delay
2013-07-31 07:00:00,28094.0,28399
Datetime,PJME_MW,delay
2013-07-31 08:00:00,30557.0,28400
Datetime,PJME_MW,delay
