Datetime,PJME_MW,delay
2002-12-31 01:00:00,26498.0,0
Datetime,PJME_MW,delay
2002-12-31 02:00:00,25147.0,1
Datetime,PJME_MW,delay
2002-12-27 05:00:00,27166.0,44
Datetime,PJME_MW,delay
2003-11-10 19:00:00,36614.0,4008
Datetime,PJME_MW,delay
2013-08-03 06:00:00,25432.0,40023
Datetime,PJME_MW,delay
2013-08-03 07:00:00,25963.0,40024
Datetime,PJME_MW,delay
2013-08-03 11:00:00,32181.0,40025
Datetime,PJME_MW,delay
2013-08-03 12:00:00,32894.0,40026
Datetime,PJME_MW,delay
2013-08-03 13:00:00,33187.0,40027
Datetime,PJME_MW,delay
2013-08-03 14:00:00,33127.0,40028
Datetime,PJME_MW,delay
2013-08-03 15:00:00,33100.0,40029
Datetime,PJME_MW,delay
2013-08-03 20:00:00,32966.0,40030
Datetime,PJME_MW,delay
2013-08-03 21:00:00,33153.0,40031
Datetime,PJME_MW,delay
2013-08-03 22:00:00,32722.0,40032
Datetime,PJME_MW,delay
2013-08-03 23:00:00,30846.0,40033
Datetime,PJME_MW,delay
2013-08-04,28588.0,40034
Datetime,PJME_MW,delay
2013-08-02 01:00:00,28322.0,40035
Datetime,PJME_MW,delay
2013-08-02 07:00:00,28462.0,40036
Datetime,PJME_MW,delay
2013-08-02 08:00:00,31011.0,40037
Datetime,PJME_MW,delay
2013-08-02 12:00:00,39556.0,40038
Datetime,PJME_MW,delay
2013-08-02 13:00:00,40814.0,40039
Datetime,PJME_MW,delay
2013-08-02 14:00:00,41895.0,40040
Datetime,PJME_MW,delay
2013-08-03,32081.0,40041
Datetime,PJME_MW,delay
2013-08-01 02:00:00,27883.0,40042
Datetime,PJME_MW,delay
2013-08-01 03:00:00,26792.0,40043
Datetime,PJME_MW,delay
2013-08-01 04:00:00,26260.0,40044
Datetime,PJME_MW,delay
2013-08-01 05:00:00,26518.0,40045
Datetime,PJME_MW,delay
2013-08-01 06:00:00,28055.0,40046
Datetime,PJME_MW,delay
2013-08-01 11:00:00,36520.0,40047
Datetime,PJME_MW,delay
2013-08-01 18:00:00,37991.0,40048
Datetime,PJME_MW,delay
2013-08-01 19:00:00,37273.0,40049
Datetime,PJME_MW,delay
2013-08-01 20:00:00,36676.0,40050
Datetime,PJME_MW,delay
2013-08-01 21:00:00,36875.0,40051
Datetime,PJME_MW,delay
2013-08-01 22:00:00,36063.0,40052
